id_cliente,empleo,antigüedad_empleo,ingresos,ingresos_verificados,rating,dti,vivienda,num_hipotecas,num_lineas_credito,porc_tarjetas_75p,porc_uso_revolving,num_cancelaciones_12meses,num_derogatorios,num_meses_desde_ult_retraso,id_prestamo,descripcion,finalidad,principal,tipo_interes,num_cuotas,imp_cuota,imp_amortizado,estado,imp_recuperado
97288274,smog check technician,10+ years,65000.0,Not Verified,D,10.03,OWN,3.0,18.0,0.0,8.7,0.0,0.0,8.0,,,home_improvement,12000.0,16.99, 60 months,298.17,3815.61,Current,0.0
119692430,Commercial Truck DRIVER,10+ years,70000.0,Not Verified,A,13.15,RENT,0.0,10.0,0.0,15.7,0.0,0.0,,,,car,11200.0,7.97, 36 months,350.82,11200.0,Fully Paid,0.0
33200988,Sales Manager,1 year,105000.0,Not Verified,A,3.79,RENT,2.0,5.0,100.0,86.6,0.0,0.0,34.0,,,credit_card,6000.0,8.39, 36 months,189.1,6000.0,Fully Paid,0.0
127492354,Server,7 years,55000.0,Verified,B,15.56,RENT,0.0,9.0,0.0,18.3,0.0,0.0,,,,small_business,40000.0,11.99, 60 months,889.58,6213.04,Late (31-120 days),0.0
21280824,QC INSPECTOR,10+ years,65000.0,Source Verified,B,10.17,RENT,0.0,6.0,50.0,38.2,0.0,2.0,25.0,,,debt_consolidation,6000.0,9.17, 36 months,191.28,6000.0,Fully Paid,0.0
47350458,President,10+ years,720000.0,Not Verified,A,4.42,OWN,4.0,15.0,75.0,66.4,0.0,1.0,21.0,,,debt_consolidation,24000.0,7.89, 36 months,750.86,24000.0,Fully Paid,0.0
63998840,LATHE,10+ years,70000.0,Source Verified,A,5.85,MORTGAGE,7.0,14.0,44.4,50.2,0.0,0.0,37.0,,,credit_card,20000.0,5.32, 36 months,602.3,20000.0,Fully Paid,0.0
67367560,Assistant Golf Professional,< 1 year,30000.0,Source Verified,B,14.48,RENT,0.0,5.0,50.0,27.7,0.0,0.0,,,,debt_consolidation,4200.0,8.38, 36 months,132.36,4200.0,Fully Paid,0.0
74654363,Medical records,5 years,35000.0,Source Verified,B,7.61,RENT,1.0,5.0,0.0,75.8,0.0,1.0,40.0,,,debt_consolidation,7000.0,11.47, 36 months,230.74,7000.0,Fully Paid,0.0
7655189,Vice President - Team Leader - BI,< 1 year,130000.0,Source Verified,B,16.67,MORTGAGE,1.0,23.0,100.0,82.7,0.0,0.0,,,,credit_card,24000.0,13.67, 36 months,816.43,24000.0,Fully Paid,0.0
139654180,Branch Manager,7 years,260000.0,Not Verified,C,11.22,MORTGAGE,5.0,16.0,33.3,45.6,0.0,0.0,,,,debt_consolidation,35600.0,14.47, 60 months,837.05,2088.63,Current,0.0
134072473,Controller,< 1 year,55000.0,Not Verified,A,5.91,RENT,0.0,11.0,33.3,25.4,0.0,0.0,25.0,,,credit_card,4800.0,5.31, 36 months,144.53,1257.74,Current,0.0
131391156,Supervisor ,10+ years,92000.0,Source Verified,C,24.76,MORTGAGE,2.0,23.0,12.5,39.4,0.0,0.0,26.0,,,home_improvement,10000.0,15.04, 60 months,238.11,10000.0,Fully Paid,0.0
56117536,Major Gift Officer,4 years,65000.0,Source Verified,B,9.71,OWN,0.0,9.0,50.0,25.8,0.0,1.0,,,,debt_consolidation,6400.0,11.53, 36 months,211.14,6400.0,Fully Paid,0.0
1042253,,,22668.0,Verified,B,13.39,RENT,,5.0,,64.6,0.0,0.0,,,,major_purchase,3000.0,10.65, 36 months,97.72,3000.0,Fully Paid,0.0
